"";"CTL.1";"CTL.2";"CTL.3";"CTL.4";"PD1.1";"PD1.2";"PD1.3";"PD1.4";"CMP.1";"CMP.3";"CMP.4"
"TC0400000450.mm.2";7,1770124171707;6,97341914937102;6,66318427764255;7,30268423530341;6,60464738844518;6,57041032658125;7,00583926773618;6,71561511591968;6,90864570512951;6,4319090477263;6,77255365279446
"TC0800000560.mm.2";4,19080721129109;3,63993390611418;4,14725145843136;3,91708683576581;3,71351734829922;4,02321821022757;3,20435992051417;3,00197860139104;3,36713435982529;3,68652632029481;2,87775143999363
"TC0X00000343.mm.2";4,39081470114371;4,80680026462458;4,18220288604629;4,01405292403801;4,27238914407948;4,38029082360286;3,89807531039131;3,86797423893891;3,62431625810154;3,68792582286385;3,88714516923036
"TC0700002995.mm.2";4,53855395850982;4,34687234908771;4,75571692803726;4,92637806221687;5,00143852033739;3,97285503267691;5,09147899094477;5,1392058661924;4,75266726582827;4,36407952026185;4,99281117786845
"TC0Y00000453.mm.2";3,00319623042642;2,83111423615267;2,29754656440443;2,85179131306299;2,46528170517741;2,21513356233929;2,62560013070915;2,11680202741841;2,57854766262193;3,17977022972405;2,97665741129717
"TC1500000102.mm.2";8,22812591349535;8,59866615458536;8,28593398322886;7,96130059661677;8,52221555059348;7,52982335328531;7,94177622895691;8,48194028386625;8,21575334112128;6,73527107252559;8,27588641000688
"TC1600002025.mm.2";2,35390302343883;2,76455140375614;2,54753455928326;2,87168225788673;2,35390302343883;2,24493355361381;2,31995479869294;2,23163608683716;2,30340767955403;2,59045644826795;2,82237157738935
"TC0100003890.mm.2";8,63521632775907;9,19505520106134;9,09571282478383;8,55169918336621;9,37605612878788;9,35404636577419;9,13196123183885;9,07182379633286;9,2713794706934;9,52812142086343;8,46685046586425
"TC1400000001.mm.2";2,46934480581378;2,62390811819647;3,02593979711078;2,32541138269347;3,10269278111092;2,68890726682654;2,43653310975535;2,46310391862759;2,84832078744212;2,87398996409905;3,28746364899936
"TC0100000845.mm.2";2,71684623078346;2,33258239732025;2,37136788287355;2,51073155774863;3,04145375889499;2,33981210331225;3,49047674981962;2,79446481278157;2,60397826382348;2,71554686226118;2,09415659878018
"TC0X00002031.mm.2";2,22114715475297;1,76337550287089;2,56750743529921;1,65101578745891;1,74913067355292;1,81761992850719;1,78511545199743;1,62779946507958;1,81245118395453;2,55809352466188;2,40435144612232
"TC0Y00000505.mm.2";2,28292896590018;2,22223114528533;2,10654153524234;2,80195002413298;2,2322230575182;2,52938213213171;2,90159087040693;2,14071161088743;2,6365158301368;1,84833890510358;2,01961380811964
"TC1400002787.mm.2";2,73591798996715;3,09345348350089;3,80243219267623;2,46167044417576;2,86616130569164;2,84868407859646;2,64645871866238;2,64790986548348;3,01637801608595;3,72880133890016;2,70701828808424
"TC0500002777.mm.2";3,85474284245195;4,33596315733227;3,571063157476;3,4047923467861;4,02471024733839;4,1974046454436;4,1457139111225;4,06783057688494;3,50175989270625;3,56422138419865;4,59916415691185
"TC0X00001321.mm.2";2,58752157828889;2,83970138537422;2,41357423676406;1,92473204776665;2,21703918858469;2,28143115104054;2,15938678559911;2,36137708633604;2,845695924797;3,07667265287221;1,88104684637326
"TC0500002779.mm.2";3,04186446515327;2,15313605490761;2,57130673891557;1,98798129355143;2,07719783024948;2,61301369240073;2,49521785630357;2,89601064801542;2,94936788134675;2,44127093741834;3,16311093420943
"TC0500000901.mm.2";2,72186654092318;2,83429662271215;2,56598208720936;2,63103650512346;2,58431657849299;3,00429994984721;3,07396112428029;2,92469052147779;2,66081319804702;2,3699847211791;3,17326826483502
